priority,route_template,historical_url_count,owasp_categories,rationale,source_count,sources,example_url_redacted
100,/onboard/?account_name=&last_name=&name=&source=&token=&uid=,2,A02 Cryptographic Failures; A07 Identification and Authentication Failures,"Archived onboarding URL contains token/identity-bearing query fields; Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,api_urlscan,gau_urlscan",https://app.perk.com/onboard/?account_name=[REDACTED]&last_name=[REDACTED]&name=[REDACTED]&source=[REDACTED]&token=[REDACTED]&uid=[REDACTED]
98,/void/approvals-v3/approver/trip-review/{id},3,A01 Broken Access Control; A04 Insecure Design,Approval/payment state-transition route; Direct object reference in trip/event/approval route,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/void/approvals-v3/approver/trip-review/34106378
98,/void/approvals-v3/approver/trip-review/{id}/approve,1,A01 Broken Access Control; A04 Insecure Design,Approval/payment state-transition route; Direct object reference in trip/event/approval route,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/void/approvals-v3/approver/trip-review/35608553/approve
98,/void/approvals-v3/approver/trip-review/{id}/approve-and-pay,5,A01 Broken Access Control; A04 Insecure Design,Approval/payment state-transition route; Direct object reference in trip/event/approval route,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/void/approvals-v3/approver/trip-review/35174304/approve-and-pay
96,/void/trips/{id}/confirmation-email,3,A01 Broken Access Control,Direct object reference in trip/event/approval route; Trip confirmation-email retrieval route,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/void/trips/34451607/confirmation-email
94,/share/trip/{uuid},1,A01 Broken Access Control,Direct object reference in trip/event/approval route; UUID-based shared-trip access route,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/share/trip/0df5fcf7-a814-45aa-ba48-66f6d9e4f1ca
92,/checkout/{id}/,1,A01 Broken Access Control; A04 Insecure Design,Checkout object/state route,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/checkout/35855038/
92,/trips/{id}/confirm,18,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/trips/36422126/confirm
92,/trips/{id}/itinerary/modify-cancel/inprogress,1,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/trips/37630817/itinerary/modify-cancel/inprogress
92,/void/trips/{id}/itinerary/involuntary-changes/{id},1,A01 Broken Access Control; A04 Insecure Design,Direct object reference in trip/event/approval route; Trip state-change or disruption workflow,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/void/trips/36533121/itinerary/involuntary-changes/17026
90,/api/identity/perk-seamless-login/,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface; Federated/SSO redirect or seamless-login boundary",3,"all_exact_host_urls_sensitive,api_urlscan,gau_urlscan",https://app.perk.com/api/identity/perk-seamless-login/
90,/api/v2/federated-login-redirect/,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface; Federated/SSO redirect or seamless-login boundary",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/api/v2/federated-login-redirect/
