candidate_index,priority,route_template,url_redacted,owasp_categories,method,anonymous_status,authenticated_status,anonymous_body_kind,authenticated_body_kind,outcome,reason
1,100,/onboard/?account_name=&last_name=&name=&source=&token=&uid=,https://app.perk.com/onboard/?account_name=[REDACTED]&last_name=[REDACTED]&name=[REDACTED]&source=[REDACTED]&token=[REDACTED]&uid=[REDACTED],A02 Cryptographic Failures; A07 Identification and Authentication Failures,GET,200,200,html,html,safe_substitution_only,Archived token/identity values were replaced with inert markers; token lifecycle was not exercised.
2,100,/onboard/?account_name=&last_name=&name=&source=&token=&uid=,https://app.perk.com/onboard/?account_name=[REDACTED]&last_name=[REDACTED]&name=[REDACTED]&source=[REDACTED]&token=[REDACTED]&uid=[REDACTED],A02 Cryptographic Failures; A07 Identification and Authentication Failures,GET,200,200,html,html,safe_substitution_only,Archived token/identity values were replaced with inert markers; token lifecycle was not exercised.
3,98,/void/approvals-v3/approver/trip-review/{id},https://app.perk.com/void/approvals-v3/approver/trip-review/34106378,A01 Broken Access Control; A04 Insecure Design,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
4,98,/void/approvals-v3/approver/trip-review/{id},https://app.perk.com/void/approvals-v3/approver/trip-review/34836797,A01 Broken Access Control; A04 Insecure Design,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
5,98,/void/approvals-v3/approver/trip-review/{id},https://app.perk.com/void/approvals-v3/approver/trip-review/35201347,A01 Broken Access Control; A04 Insecure Design,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
6,98,/void/approvals-v3/approver/trip-review/{id}/approve,https://app.perk.com/void/approvals-v3/approver/trip-review/35608553/approve,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
7,98,/void/approvals-v3/approver/trip-review/{id}/approve-and-pay,https://app.perk.com/void/approvals-v3/approver/trip-review/35174304/approve-and-pay,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
8,98,/void/approvals-v3/approver/trip-review/{id}/approve-and-pay,https://app.perk.com/void/approvals-v3/approver/trip-review/35608000/approve-and-pay,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
9,98,/void/approvals-v3/approver/trip-review/{id}/approve-and-pay,https://app.perk.com/void/approvals-v3/approver/trip-review/35608553/approve-and-pay,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
10,98,/void/approvals-v3/approver/trip-review/{id}/approve-and-pay,https://app.perk.com/void/approvals-v3/approver/trip-review/38072207/approve-and-pay,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
11,98,/void/approvals-v3/approver/trip-review/{id}/approve-and-pay,https://app.perk.com/void/approvals-v3/approver/trip-review/38893212/approve-and-pay,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
12,96,/void/trips/{id}/confirmation-email,https://app.perk.com/void/trips/34451607/confirmation-email,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
13,96,/void/trips/{id}/confirmation-email,https://app.perk.com/void/trips/36057432/confirmation-email,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
14,96,/void/trips/{id}/confirmation-email,https://app.perk.com/void/trips/36091168/confirmation-email,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
15,94,/share/trip/{uuid},https://app.perk.com/share/trip/0df5fcf7-a814-45aa-ba48-66f6d9e4f1ca,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
